COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
2,24,26,2022-2023,T,SERVICE_INVOICE-31072022-SGIPL-Jhagadia SGIPL-V-26-T.pdf,23,01/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2022 00:00:00,null,null,null
2,24,42,2022-2023,D,SERVICE_INVOICE-30092022-SGIPL-Jhagadia SGIPL-V-42-D.pdf,113,03/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/10/2022 00:00:00,null,null,null
2,24,42,2022-2023,O,SERVICE_INVOICE-30092022-SGIPL-Jhagadia SGIPL-V-42-O.pdf,113,03/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/10/2022 00:00:00,null,null,null
2,24,42,2022-2023,T,SERVICE_INVOICE-30092022-SGIPL-Jhagadia SGIPL-V-42-T.pdf,113,03/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/10/2022 00:00:00,null,null,null
2,24,62,2022-2023,D,SERVICE_INVOICE-31122022-SGIPL-Jhagadia SGIPL-V-62-D.pdf,113,02/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/01/2023 00:00:00,null,null,null
2,24,62,2022-2023,O,SERVICE_INVOICE-31122022-SGIPL-Jhagadia SGIPL-V-62-O.pdf,113,02/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/01/2023 00:00:00,null,null,null
2,24,62,2022-2023,T,SERVICE_INVOICE-31122022-SGIPL-Jhagadia SGIPL-V-62-T.pdf,113,02/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/01/2023 00:00:00,null,null,null
2,24,66,2022-2023,D,SERVICE_INVOICE-15012023-SGIPL-Jhagadia SGIPL-V-66-D.pdf,113,16/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/01/2023 00:00:00,null,null,null
2,24,66,2022-2023,O,SERVICE_INVOICE-15012023-SGIPL-Jhagadia SGIPL-V-66-O.pdf,113,16/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/01/2023 00:00:00,null,null,null
2,24,66,2022-2023,T,SERVICE_INVOICE-15012023-SGIPL-Jhagadia SGIPL-V-66-T.pdf,113,16/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/01/2023 00:00:00,null,null,null
2,24,24,2022-2023,D,SERVICE_INVOICE-15072022-SGIPL-Gyproc Jhagadia SGIPL-V-24-D.pdf,113,18/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/07/2022 00:00:00,null,null,null
2,24,24,2022-2023,O,SERVICE_INVOICE-15072022-SGIPL-Gyproc Jhagadia SGIPL-V-24-O.pdf,113,18/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/07/2022 00:00:00,null,null,null
