

<<START>>,<<FMS_TRUCK_TRANSPORTER_MST>>,, 	(30-MAY-2025 10:14:10)
 
ENT_PROFILE,TRUCK_TRANS_CD,EFF_DT,TIMESTAMP,
2,100,TN88-J2146,11/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,101,TN88-J2175,11/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,102,KA01-AM5032,13/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,103,KA01-AM4879,13/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,104,KA01-AM5032,13/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,105,KA01-AM4879,13/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,106,GJ16-AW1875,18/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,107,NL01-AE4801,20/03/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,108,GJ06-AZ4855,07/08/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,109,GJ05-AZ6198,07/02/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,110,GJ05-BT0374,01/03/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,111,GJ05-CU0297,05/03/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,112,GJ05-CU1486,28/08/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,113,GJ05-CU1665,28/08/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,114,GJ05-CU1779,11/10/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,115,GJ05-CU1779,11/10/2021 00:00:00, 	(30-MAY-2025 10:14:49)
2,116,GJ05-CU1119,22/09/2022 00:00:00, 	(30-MAY-2025 10:14:49)
2,117,GJ05-BZ9399,22/09/2022 00:00:00, 	(30-MAY-2025 10:14:49)
2,118,NL01-AG2372,22/11/2022 00:00:00, 	(30-MAY-2025 10:14:49)
2,119,KA01-AM6978,01/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,120,NL01-AF0914,01/02/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,121,GJ16-AW0311,11/03/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,122,GJ06-AZ9472,13/03/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,123,MH14-KQ8147,13/10/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,124,GJ05-AZ6598,10/10/2023 00:00:00, 	(30-MAY-2025 10:14:49)
2,125,GJ18-BV6633,22/01/2024 00:00:00, 	(30-MAY-2025 10:14:49)
2,126,GJ39-T2681,20/03/2024 00:00:00, 	(30-MAY-2025 10:14:49)
2,127,GJ05-BT6645,17/11/2024 00:00:00, 	(30-MAY-2025 10:14:49)
2,128,GJ05-CW9783,19/03/2025 00:00:00, 	(30-MAY-2025 10:14:49)

TOTAL DATA IN EXCEL : ,127,,, 	(30-MAY-2025 10:14:49)
 

TOTAL DATA INSERTED : ,127,,, 	(30-MAY-2025 10:14:49)
 

TOTAL SKIPPED DATA ,0,,, 	(30-MAY-2025 10:14:49)
 
<<END>>,<<FMS_TRUCK_MST>>,,, 	(30-MAY-2025 10:14:49)
 
